Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",218.440000,-81.280000,0.000000,top
"C2","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",278.130000,-58.420000,330.000000,top
"C3","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",306.070000,-83.820000,300.000000,top
"C4","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",308.610000,-128.270000,270.000000,top
"C5","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",295.910000,-171.450000,240.000000,top
"C6","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",262.890000,-207.645000,210.000000,top
"C7","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",217.805000,-226.695000,90.000000,top
"C8","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",170.180000,-207.645000,150.000000,top
"C9","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",136.525000,-173.355000,120.000000,top
"C10","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",124.460000,-125.730000,90.000000,top
"C11","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",136.525000,-70.485000,60.000000,top
"C12","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",160.020000,-55.245000,30.000000,top
"C13","10n","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",273.685000,-76.200000,0.000000,top
"D2","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",225.425000,-95.250000,180.000000,top
"D3","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",244.475000,-114.935000,90.000000,top
"D4","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",201.930000,-97.790000,180.000000,top
"Q1","IRF9540N","TO-263-2",288.925000,-114.300000,30.000000,top
"R1","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",219.710000,-76.200000,270.000000,top
"R2","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",281.940000,-54.610000,240.000000,top
"R3","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",308.610000,-82.550000,300.000000,top
"R4","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",313.472500,-129.540000,180.000000,top
"R5","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",299.720000,-175.260000,150.000000,top
"R6","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",264.160000,-212.725000,120.000000,top
"R7","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",214.630000,-226.695000,90.000000,top
"R8","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",167.005000,-210.820000,60.000000,top
"R9","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",132.080000,-174.625000,30.000000,top
"R10","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",120.015000,-124.460000,0.000000,top
"R11","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",133.350000,-68.580000,60.000000,top
"R12","6k2","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",158.750000,-50.165000,300.000000,top
"R13","100k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",249.555000,-100.965000,180.000000,top
"R14","680R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",226.060000,-91.440000,180.000000,top
"R15","680R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",248.920000,-114.935000,90.000000,top
"R16","180R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",202.347500,-92.710000,180.000000,top
